source,land,frequency
zeitung,Deutschland,22
medien,Deutschland,30
tv,Deutschland,23
internet,Deutschland,43
radio,Deutschland,11
poli.akteuren,Deutschland,4
other,Deutschland,0
zeitung,Kroatien,42
medien,Kroatien,65
tv,Kroatien,48
internet,Kroatien,89
radio,Kroatien,11
poli.akteuren,Kroatien,7
other,Kroatien,1
zeitung,Bulgarien,20
medien,Bulgarien,33
tv,Bulgarien,37
internet,Bulgarien,51
radio,Bulgarien,14
poli.akteuren,Bulgarien,4
other,Bulgarien,2
